,Order ID,AWB Number,Total weight as per X (KG),Weight slab charged by Courier Company (KG),Delivery Zone as per X,Delivery Zone charged by Courier Company,Type of Shipment,Weight slab as per X (KG),Expected Charge as per X (Rs.),Charges Billed by Courier Company (Rs.),Difference Between Expected Charges and Billed Charges (Rs.)
180,2001807970,1091117327474,6.0,4.13,d,d,Forward charges,1.25,90.19999999999999,403.8,313.6
181,2001806733,1091117226674,1.65,1.13,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
182,2001806733,1091117226674,1.12,1.13,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
183,2001806733,1091117226674,2.4,1.13,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
184,2001806733,1091117226674,2.1,1.13,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
185,2001816131,1091119367193,3.5,0.7,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
186,2001816131,1091119367193,1.02,0.7,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
187,2001812854,1091118548333,3.5,2.94,d,d,Forward charges,1.25,90.19999999999999,269.4,179.2
188,2001812854,1091118548333,1.12,2.94,d,d,Forward charges,1.25,90.19999999999999,269.4,179.2
189,2001812854,1091118548333,5.0,2.94,d,d,Forward charges,1.25,90.19999999999999,269.4,179.2
190,2001807613,1091117333251,3.5,1.04,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
191,2001807613,1091117333251,2.4,1.04,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
192,2001825261,1091121981575,1.37,1.6,d,d,Forward and RTO charges,1.25,90.19999999999999,345.0,254.8
193,2001825261,1091121981575,0.1,1.6,d,d,Forward and RTO charges,1.25,90.19999999999999,345.0,254.8
194,2001825261,1091121981575,1.12,1.6,d,d,Forward and RTO charges,1.25,90.19999999999999,345.0,254.8
195,2001825261,1091121981575,2.4,1.6,d,d,Forward and RTO charges,1.25,90.19999999999999,345.0,254.8
196,2001810549,1091117806263,1.37,1.86,d,d,Forward charges,1.25,90.19999999999999,179.8,89.60000000000002
197,2001810549,1091117806263,2.4,1.86,d,d,Forward charges,1.25,90.19999999999999,179.8,89.60000000000002
198,2001810549,1091117806263,2.32,1.86,d,d,Forward charges,1.25,90.19999999999999,179.8,89.60000000000002
199,2001823564,1091121666133,1.12,0.7,d,d,Forward and RTO charges,1.25,90.19999999999999,172.8,82.60000000000002
200,2001821502,1091121185863,1.12,0.6,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
201,2001821502,1091121185863,1.1,0.6,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
202,2001821284,1091120962515,1.12,0.2,d,d,Forward charges,1.25,90.19999999999999,45.4,-44.79999999999999
203,2001821284,1091120962515,0.65,0.2,d,d,Forward charges,1.25,90.19999999999999,45.4,-44.79999999999999
204,2001817093,1091121485824,1.12,1.3,b,b,Forward and RTO charges,0.5,61.3,151.1,89.8
205,2001817093,1091121485824,1.2,1.3,b,b,Forward and RTO charges,0.5,61.3,151.1,89.8
206,2001817093,1091121485824,1.0,1.3,b,b,Forward and RTO charges,0.5,61.3,151.1,89.8
207,2001817093,1091121485824,2.1,1.3,b,b,Forward and RTO charges,0.5,61.3,151.1,89.8
208,2001817093,1091121485824,1.4,1.3,b,b,Forward and RTO charges,0.5,61.3,151.1,89.8
209,2001817093,1091121485824,1.15,1.3,b,b,Forward and RTO charges,0.5,61.3,151.1,89.8
210,2001811192,1091117957780,1.12,1.13,d,d,Forward and RTO charges,1.25,90.19999999999999,258.9,168.7
211,2001811192,1091117957780,1.2,1.13,d,d,Forward and RTO charges,1.25,90.19999999999999,258.9,168.7
212,2001811192,1091117957780,1.0,1.13,d,d,Forward and RTO charges,1.25,90.19999999999999,258.9,168.7
213,2001811192,1091117957780,1.4,1.13,d,d,Forward and RTO charges,1.25,90.19999999999999,258.9,168.7
214,2001808102,1091117435005,1.12,1.28,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
215,2001808102,1091117435005,2.4,1.28,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
216,2001808102,1091117435005,1.15,1.28,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
217,2001808102,1091117435005,1.3,1.28,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
218,2001807415,1091117325094,1.12,1.0,b,b,Forward charges,0.5,61.3,61.3,0.0
219,2001807415,1091117325094,2.4,1.0,b,b,Forward charges,0.5,61.3,61.3,0.0
220,2001807415,1091117325094,1.2,1.0,b,b,Forward charges,0.5,61.3,61.3,0.0
221,2001807362,1091117324394,1.12,2.0,d,d,Forward charges,1.25,90.19999999999999,179.8,89.60000000000002
222,2001807036,1091117323005,1.12,1.64,d,d,Forward charges,1.25,90.19999999999999,179.8,89.60000000000002
223,2001807036,1091117323005,1.15,1.64,d,d,Forward charges,1.25,90.19999999999999,179.8,89.60000000000002
224,2001806616,1091117225484,1.12,1.08,b,b,Forward charges,0.5,61.3,89.6,28.299999999999997
225,2001806616,1091117225484,2.4,1.08,b,b,Forward charges,0.5,61.3,89.6,28.299999999999997
226,2001806616,1091117225484,1.21,1.08,b,b,Forward charges,0.5,61.3,89.6,28.299999999999997
227,2001806616,1091117225484,1.2,1.08,b,b,Forward charges,0.5,61.3,89.6,28.299999999999997
228,2001806616,1091117225484,2.5,1.08,b,b,Forward charges,0.5,61.3,89.6,28.299999999999997
229,2001806567,1091117224902,1.12,1.16,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
230,2001806567,1091117224902,1.2,1.16,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
231,2001806567,1091117224902,2.9,1.16,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
232,2001806567,1091117224902,1.6,1.16,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
233,2001806567,1091117224902,1.5,1.16,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
234,2001806408,1091117222931,1.12,2.5,d,d,Forward charges,1.25,90.19999999999999,224.6,134.4
235,2001806408,1091117222931,1.0,2.5,d,d,Forward charges,1.25,90.19999999999999,224.6,134.4
236,2001806408,1091117222931,1.65,2.5,d,d,Forward charges,1.25,90.19999999999999,224.6,134.4
237,2001806408,1091117222931,5.52,2.5,d,d,Forward charges,1.25,90.19999999999999,224.6,134.4
238,2001822466,1091121305541,1.12,1.1,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
239,2001822466,1091121305541,2.4,1.1,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
240,2001821185,1091120959225,2.4,2.1,d,d,Forward charges,1.25,90.19999999999999,224.6,134.4
241,2001821185,1091120959225,1.33,2.1,d,d,Forward charges,1.25,90.19999999999999,224.6,134.4
242,2001821185,1091120959225,1.21,2.1,d,d,Forward charges,1.25,90.19999999999999,224.6,134.4
243,2001821185,1091120959225,2.9,2.1,d,d,Forward charges,1.25,90.19999999999999,224.6,134.4
244,2001811604,1091118004245,2.4,0.8,b,b,Forward charges,0.5,61.3,61.3,0.0
245,2001811604,1091118004245,1.21,0.8,b,b,Forward charges,0.5,61.3,61.3,0.0
246,2001811604,1091118004245,1.2,0.8,b,b,Forward charges,0.5,61.3,61.3,0.0
247,2001807976,1091117327496,2.4,0.7,d,d,Forward and RTO charges,1.25,90.19999999999999,172.8,82.60000000000002
248,2001807976,1091117327496,1.21,0.7,d,d,Forward and RTO charges,1.25,90.19999999999999,172.8,82.60000000000002
249,2001807976,1091117327496,1.2,0.7,d,d,Forward and RTO charges,1.25,90.19999999999999,172.8,82.60000000000002
250,2001807960,1091117327312,2.4,1.0,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
